feature,p_value_set1_standardized,p_value_set2_raw,p_value_set3_log1p,best_set_by_min_p
Age,8.526522999196845e-74,8.526522999199899e-74,1.7373688232431944e-192,set3_log1p
Cement,2.4611998373329235e-40,2.4611998373302775e-40,1.1004820413309517e-85,set3_log1p
Coarse_Aggregate,0.00547465939376222,0.005474659393760136,0.40541706986340026,set2_raw
Fine_Aggregate,0.0029416307076064433,0.0029416307076052454,0.08874613009760633,set2_raw
Fly_Ash,3.318101052062441e-13,3.3181010520601854e-13,0.29486760405641915,set2_raw
Slag,6.354749069768198e-26,6.354749069762433e-26,7.344728500375873e-36,set3_log1p
Superplasticizer,0.236255055550285,0.23625505555026416,8.082550508126006e-06,set3_log1p
Water,0.001842734102583198,0.0018427341025840454,1.6801036006915434e-20,set3_log1p
